ANT 28-4,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,OLD,NEW,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0,Unnamed: 38_level_0,Unnamed: 39_level_0,Unnamed: 40_level_0,Unnamed: 41_level_0,Unnamed: 42_level_0,Unnamed: 43_level_0,Unnamed: 44_level_0,Unnamed: 45_level_0,Unnamed: 46_level_0,Unnamed: 47_level_0,Unnamed: 48_level_0,Unnamed: 49_level_0,Unnamed: 50_level_0,Unnamed: 51_level_0,Unnamed: 52_level_0,Unnamed: 53_level_0,Unnamed: 54_level_0,Unnamed: 55_level_0,Unnamed: 56_level_0,Unnamed: 57_level_0,Unnamed: 58_level_0,Unnamed: 59_level_0,Unnamed: 60_level_0,Unnamed: 61_level_0,Unnamed: 62_level_0,Unnamed: 63_level_0,Unnamed: 64_level_0,Unnamed: 65_level_0,Unnamed: 66_level_0,Unnamed: 67_level_0,Unnamed: 68_level_0,Unnamed: 69_level_0,Unnamed: 70_level_0,Unnamed: 71_level_0,Unnamed: 72_level_0,Unnamed: 73_level_0
,68.0,46.0,,,61.0,58.0,15.0,10.0,88.0,59.0,21.0,,96.0,,,,,0.0,,15.0,,,,,,2.0,,96.0,25.0,84.0,,67.0,44.0,,,,12.0,,89.0,94.0,,8.0,,,11.0,81.0,84.0,,70.0,,99.0,22.0,,,87.0,,,,,,,42.0,,48.0,,18.0,37.0,70.0,,45.0,,,
,54.0,,,,21.0,7.0,,8.0,98.0,,37.0,,,13.0,86.0,,25.0,96.0,92.0,79.0,50.0,,68.0,,,21.0,82.0,17.0,71.0,71.0,87.0,13.0,70.0,1.0,,98.0,78.0,,,0.0,62.0,42.0,,75.0,,85.0,,,,,,,92.0,,,90.0,3.0,,,38.0,,,,45.0,72.0,29.0,,,,97.0,,,43.0
2.0,,,3.0,76.0,,76.0,,68.0,32.0,91.0,,72.0,,,28.0,,,73.0,,,,,71.0,,,,54.0,,,,,,,60.0,74.0,,,47.0,,16.0,,73.0,,65.0,50.0,18.0,24.0,,,72.0,15.0,96.0,88.0,,,,,,,,3.0,80.0,,77.0,,66.0,,,,22.0,45.0,,
,,,67.0,,47.0,,,43.0,,,56.0,5.0,,60.0,,9.0,,10.0,,,,,,,54.0,,,,,,,,27.0,1.0,,70.0,,29.0,,46.0,41.0,,,66.0,,,67.0,,80.0,,78.0,,,87.0,,,4.0,,44.0,46.0,,28.0,9.0,,,,35.0,,,,60.0,,
52.0,89.0,,,,95.0,56.0,,30.0,,,,14.0,2.0,,40.0,7.0,58.0,,,,4.0,50.0,28.0,,35.0,,,,,,,,49.0,,78.0,70.0,38.0,,,69.0,,88.0,9.0,,71.0,,,86.0,,58.0,,,42.0,,,,49.0,,69.0,55.0,,93.0,,,,67.0,70.0,,13.0,,83.0,,2.0
,91.0,23.0,,62.0,,,45.0,,,79.0,7.0,,2.0,19.0,,,57.0,,,,31.0,72.0,,,,63.0,54.0,33.0,93.0,52.0,,,,67.0,25.0,,6.0,,,69.0,,41.0,12.0,,,,,,,,54.0,81.0,83.0,53.0,,59.0,2.0,28.0,,,,,91.0,99.0,,66.0,33.0,82.0,,57.0,39.0,14.0,11.0
,,,41.0,,,,,32.0,,,68.0,,,,68.0,44.0,36.0,,2.0,2.0,0.0,,94.0,49.0,,46.0,83.0,,,,,67.0,62.0,76.0,,,,,62.0,,,44.0,92.0,,,35.0,91.0,67.0,,32.0,55.0,,,,11.0,97.0,44.0,,46.0,31.0,,,,0.0,,,,17.0,36.0,,42.0,,16.0
,17.0,76.0,97.0,,61.0,,39.0,,,69.0,53.0,,,,,22.0,73.0,,82.0,94.0,,51.0,,67.0,64.0,,,48.0,99.0,,,,31.0,59.0,,,20.0,,98.0,,,,,,,,,,,12.0,,57.0,,85.0,62.0,,19.0,,,2.0,71.0,85.0,29.0,61.0,70.0,30.0,28.0,,19.0,77.0,46.0,59.0,
26.0,,32.0,,6.0,6.0,70.0,92.0,31.0,64.0,,61.0,92.0,37.0,,,52.0,,28.0,,,33.0,50.0,,,,94.0,,44.0,,88.0,12.0,22.0,,,,41.0,,30.0,,,26.0,26.0,,43.0,10.0,63.0,,25.0,,,,9.0,,4.0,21.0,,,89.0,,,,77.0,1.0,,,,99.0,,,22.0,,60.0,7.0
,57.0,,18.0,73.0,,70.0,16.0,23.0,28.0,,,,,,,69.0,,,,91.0,,,,,,11.0,72.0,,2.0,87.0,21.0,,,34.0,,69.0,7.0,51.0,,79.0,,,69.0,54.0,,15.0,,,,11.0,,,94.0,,16.0,31.0,60.0,,,76.0,16.0,,,89.0,,30.0,32.0,62.0,,,44.0,26.0,
,,70.0,77.0,42.0,84.0,43.0,,,47.0,86.0,31.0,,,41.0,,53.0,,,40.0,,36.0,,,,,55.0,35.0,,9.0,,27.0,51.0,39.0,,95.0,,98.0,,2.0,,,6.0,53.0,,44.0,,,,,,,28.0,,,23.0,92.0,53.0,,78.0,86.0,,31.0,,24.0,,81.0,,2.0,,84.0,,49.0,71.0
,68.0,94.0,,58.0,21.0,57.0,,37.0,78.0,14.0,88.0,,37.0,,,,,31.0,72.0,62.0,,21.0,,,,,46.0,,47.0,74.0,,84.0,65.0,,79.0,,,,,55.0,9.0,23.0,66.0,,13.0,,,,85.0,,41.0,,14.0,34.0,,36.0,,7.0,,,,13.0,,,,28.0,89.0,,43.0,84.0,76.0,56.0,66.0
35.0,,,53.0,,,13.0,,91.0,,81.0,54.0,,39.0,27.0,,24.0,,13.0,9.0,54.0,,,,,,13.0,,64.0,,,,,,,78.0,,42.0,90.0,,94.0,42.0,,97.0,18.0,35.0,,70.0,96.0,98.0,42.0,68.0,,,51.0,,36.0,22.0,35.0,,,,32.0,73.0,26.0,,,90.0,,95.0,,76.0,71.0,86.0
,63.0,5.0,,30.0,,92.0,,35.0,,,,,,54.0,,,,40.0,2.0,,43.0,61.0,,,,95.0,22.0,90.0,,,89.0,,90.0,,,40.0,73.0,82.0,65.0,,,,,0.0,17.0,92.0,89.0,,,66.0,56.0,19.0,68.0,,,86.0,33.0,97.0,,18.0,45.0,,41.0,,,,54.0,61.0,68.0,,13.0,28.0,
,69.0,,,69.0,,55.0,77.0,38.0,64.0,,,,72.0,78.0,98.0,78.0,,46.0,73.0,70.0,10.0,,,41.0,,,,,62.0,,4.0,,,94.0,,22.0,76.0,,,19.0,,,,,85.0,72.0,74.0,87.0,97.0,11.0,8.0,,29.0,44.0,49.0,,4.0,,4.0,7.0,55.0,72.0,,13.0,90.0,,86.0,,25.0,,19.0,,59.0
,93.0,15.0,,94.0,39.0,79.0,10.0,,,,78.0,65.0,,,58.0,25.0,72.0,30.0,,,,,25.0,26.0,,,39.0,,,,,87.0,89.0,,3.0,,,37.0,,7.0,65.0,,,,90.0,,,95.0,,15.0,,,,92.0,68.0,44.0,,,,,66.0,,62.0,,30.0,5.0,50.0,21.0,,23.0,58.0,71.0,
32.0,,,76.0,,,26.0,,37.0,,27.0,,,,59.0,45.0,,86.0,16.0,,,95.0,,,,,59.0,,40.0,,,23.0,,49.0,,,,1.0,,,,11.0,36.0,20.0,90.0,,64.0,44.0,,38.0,25.0,,,29.0,67.0,,54.0,,56.0,94.0,,,60.0,19.0,38.0,75.0,,,,,,,,3.0
,,97.0,,72.0,69.0,14.0,,5.0,,,,,72.0,,,16.0,99.0,,,,52.0,,,,,45.0,,29.0,,,13.0,3.0,,22.0,,22.0,,96.0,,77.0,,,37.0,84.0,48.0,,99.0,14.0,,,51.0,,56.0,,14.0,,,,4.0,76.0,58.0,48.0,,65.0,,,,,16.0,,,,
,,,,,13.0,8.0,69.0,,,60.0,30.0,,62.0,,64.0,,,,8.0,72.0,,67.0,,,,25.0,23.0,90.0,,34.0,,,,52.0,91.0,53.0,15.0,,,,,47.0,43.0,,,,,,,,23.0,,,,,,73.0,64.0,40.0,,,,,,79.0,,25.0,73.0,,,,,
,,84.0,1.0,,,37.0,,17.0,,,67.0,,,11.0,33.0,,,,,34.0,,56.0,,,50.0,,50.0,38.0,,80.0,,67.0,51.0,,,70.0,,,58.0,,,,98.0,2.0,49.0,,15.0,40.0,,1.0,,68.0,,82.0,31.0,,,,,98.0,,72.0,,,,,,63.0,,,,16.0,49.0
,,16.0,,8.0,,,50.0,,93.0,,15.0,,52.0,33.0,,,,,58.0,31.0,,16.0,,12.0,,92.0,69.0,39.0,,54.0,76.0,,72.0,55.0,,,45.0,,36.0,,74.0,,53.0,77.0,,42.0,99.0,,21.0,19.0,8.0,8.0,67.0,,76.0,28.0,,,,,,5.0,,71.0,35.0,,,44.0,,35.0,54.0,82.0,24.0
,52.0,21.0,37.0,20.0,3.0,4.0,,,,,,69.0,93.0,,14.0,,50.0,1.0,33.0,55.0,,4.0,91.0,27.0,58.0,,59.0,72.0,,96.0,,12.0,,12.0,47.0,60.0,23.0,,,,20.0,96.0,,,,,33.0,80.0,64.0,75.0,33.0,89.0,54.0,44.0,75.0,69.0,,,21.0,92.0,8.0,92.0,57.0,23.0,,,,95.0,78.0,55.0,,82.0,
67.0,18.0,28.0,29.0,48.0,,64.0,44.0,21.0,22.0,,,,22.0,19.0,80.0,59.0,,9.0,,84.0,,40.0,5.0,99.0,,,31.0,12.0,46.0,83.0,39.0,66.0,10.0,,,41.0,,55.0,40.0,62.0,65.0,31.0,98.0,,,75.0,,80.0,27.0,,,65.0,,13.0,,,,16.0,7.0,40.0,88.0,43.0,88.0,97.0,10.0,,7.0,,51.0,54.0,,86.0,
92.0,,82.0,,21.0,,87.0,,44.0,81.0,,,,,,,,92.0,66.0,88.0,,,7.0,8.0,,94.0,,27.0,,,,31.0,,,74.0,38.0,27.0,,23.0,36.0,,,26.0,,,41.0,,,,64.0,,33.0,17.0,,30.0,,83.0,4.0,,2.0,,44.0,,,,62.0,,17.0,,82.0,,,47.0,
93.0,91.0,,2.0,,46.0,,93.0,53.0,,82.0,67.0,73.0,69.0,1.0,17.0,22.0,0.0,76.0,,11.0,2.0,69.0,56.0,39.0,12.0,,64.0,54.0,32.0,,,,34.0,30.0,,,,91.0,,30.0,74.0,,,,20.0,,15.0,61.0,,,19.0,,,0.0,12.0,,,27.0,69.0,,,92.0,58.0,,26.0,,19.0,,32.0,99.0,88.0,51.0,51.0
11.0,54.0,4.0,54.0,,,3.0,,,,2.0,2.0,,61.0,,,53.0,28.0,,,16.0,,3.0,98.0,58.0,,,37.0,,,,4.0,,29.0,,,59.0,85.0,,97.0,,,74.0,,52.0,,,70.0,14.0,73.0,,,81.0,15.0,74.0,27.0,,,,53.0,,1.0,56.0,,4.0,29.0,,58.0,,,43.0,,,
,7.0,20.0,23.0,,94.0,28.0,16.0,63.0,,53.0,,,40.0,,,,85.0,,20.0,14.0,,69.0,83.0,78.0,,75.0,41.0,,,,,45.0,,4.0,89.0,,,,,,,,,,66.0,,53.0,,64.0,51.0,73.0,84.0,46.0,,10.0,56.0,28.0,,75.0,20.0,7.0,98.0,18.0,,10.0,,2.0,,59.0,,,20.0,70.0
37.0,3.0,,69.0,84.0,,,,,,,,88.0,50.0,,30.0,,94.0,,,,63.0,,,42.0,37.0,56.0,85.0,,18.0,,55.0,59.0,40.0,70.0,64.0,,,60.0,69.0,,39.0,,13.0,81.0,,84.0,56.0,93.0,13.0,50.0,,34.0,92.0,14.0,,,48.0,15.0,90.0,2.0,10.0,,,38.0,,,,,17.0,37.0,83.0,70.0,
,,,,14.0,2.0,,9.0,,,,91.0,,37.0,,,,37.0,14.0,60.0,,45.0,80.0,,,49.0,,,5.0,,43.0,63.0,,,38.0,,27.0,,,28.0,28.0,28.0,,,88.0,30.0,63.0,46.0,,,,82.0,,,1.0,,,80.0,53.0,55.0,,83.0,84.0,35.0,9.0,,54.0,,,,,72.0,53.0,71.0
6.0,79.0,,20.0,35.0,,,53.0,,,,6.0,75.0,,,,27.0,,97.0,14.0,6.0,58.0,,,,27.0,63.0,,67.0,89.0,,,34.0,,,,,28.0,37.0,,,,75.0,36.0,,44.0,47.0,,,69.0,,68.0,,78.0,48.0,78.0,,51.0,,88.0,53.0,,,,41.0,,,68.0,,,64.0,,7.0,52.0
,39.0,26.0,49.0,,7.0,5.0,91.0,,,,83.0,81.0,56.0,67.0,92.0,,26.0,,40.0,,62.0,,89.0,,,69.0,,,,87.0,,85.0,,68.0,77.0,,58.0,69.0,17.0,,88.0,,64.0,,,,12.0,19.0,,9.0,31.0,64.0,,,97.0,56.0,36.0,89.0,82.0,,,99.0,14.0,,,20.0,95.0,45.0,34.0,38.0,,62.0,53.0
8.0,,48.0,86.0,,29.0,60.0,,,,,20.0,63.0,,,17.0,38.0,31.0,,21.0,28.0,,,,73.0,18.0,,,,26.0,,48.0,,,66.0,,,70.0,86.0,,,26.0,,27.0,,,5.0,,,,,45.0,54.0,,67.0,,58.0,,,,35.0,46.0,57.0,46.0,74.0,,,,17.0,,,11.0,,36.0
60.0,38.0,52.0,,50.0,68.0,24.0,,83.0,,,,,22.0,,,,,,85.0,26.0,,,56.0,17.0,,87.0,40.0,,94.0,,,,,52.0,24.0,42.0,14.0,14.0,39.0,80.0,68.0,,80.0,90.0,1.0,,93.0,,82.0,,0.0,54.0,20.0,,,,,,30.0,29.0,,75.0,,98.0,66.0,66.0,,,,89.0,,,
,53.0,86.0,10.0,20.0,66.0,,12.0,51.0,,,,,,26.0,59.0,,48.0,8.0,91.0,,,65.0,19.0,49.0,28.0,,41.0,,,,,8.0,,,,,,46.0,,59.0,,74.0,75.0,5.0,,10.0,10.0,94.0,97.0,,,,,62.0,15.0,,,12.0,4.0,,17.0,,,0.0,4.0,45.0,87.0,83.0,56.0,68.0,95.0,34.0,26.0
,85.0,,41.0,17.0,6.0,48.0,,3.0,36.0,13.0,19.0,,,,,,82.0,,36.0,15.0,40.0,56.0,,55.0,,,,28.0,,5.0,21.0,,81.0,,64.0,,,79.0,7.0,,,,,,,,,14.0,19.0,,,,49.0,,62.0,47.0,,,,91.0,67.0,24.0,,68.0,91.0,95.0,,22.0,,,11.0,,
,,,,84.0,51.0,,,80.0,18.0,4.0,80.0,,68.0,,15.0,49.0,64.0,15.0,16.0,65.0,57.0,69.0,,,73.0,,70.0,,35.0,88.0,,,,6.0,42.0,37.0,57.0,8.0,,,,59.0,85.0,,,28.0,34.0,,40.0,,,,7.0,,,67.0,12.0,3.0,95.0,11.0,,90.0,,76.0,,80.0,16.0,22.0,,96.0,,8.0,
55.0,40.0,55.0,68.0,,95.0,47.0,,31.0,,,,,26.0,64.0,,,,,,,5.0,,54.0,83.0,15.0,24.0,,7.0,67.0,96.0,79.0,,,,,21.0,,,32.0,,14.0,69.0,,47.0,,,84.0,,,,,,,50.0,96.0,42.0,74.0,47.0,56.0,76.0,,35.0,,73.0,,,,,,,46.0,,
68.0,,,79.0,,,,,,,53.0,,45.0,,,83.0,,89.0,75.0,28.0,,48.0,,,74.0,,35.0,4.0,,37.0,,,,,,86.0,91.0,,65.0,,,84.0,,7.0,,25.0,,79.0,,,91.0,49.0,17.0,14.0,,,11.0,71.0,54.0,,,,,,14.0,,,,69.0,,67.0,17.0,,
7.0,,50.0,,,91.0,23.0,,,,70.0,32.0,,,,80.0,57.0,33.0,69.0,0.0,,,64.0,,57.0,,90.0,57.0,77.0,66.0,,18.0,,,,77.0,,36.0,,,60.0,51.0,,26.0,95.0,72.0,,66.0,,40.0,,66.0,17.0,29.0,,34.0,,36.0,47.0,28.0,,,,88.0,,90.0,,87.0,,,,,,78.0
45.0,,,,,39.0,,,59.0,59.0,77.0,72.0,14.0,67.0,,,,71.0,,75.0,59.0,74.0,85.0,28.0,93.0,,8.0,64.0,96.0,,,0.0,50.0,,50.0,18.0,,,44.0,47.0,,,44.0,16.0,56.0,,1.0,28.0,,56.0,,42.0,33.0,96.0,43.0,,,49.0,78.0,73.0,8.0,49.0,10.0,,52.0,,,79.0,,,20.0,78.0,,
24.0,81.0,31.0,,,92.0,38.0,33.0,,87.0,17.0,,,76.0,56.0,,16.0,39.0,69.0,,,,,,3.0,80.0,26.0,,,72.0,81.0,18.0,85.0,,8.0,8.0,20.0,62.0,,,12.0,49.0,51.0,,,94.0,,,,44.0,,,,,10.0,54.0,15.0,45.0,46.0,,92.0,56.0,52.0,32.0,,1.0,45.0,48.0,,60.0,7.0,30.0,,
,1.0,,7.0,9.0,90.0,,89.0,94.0,44.0,,14.0,80.0,88.0,,62.0,,80.0,,35.0,97.0,90.0,54.0,74.0,16.0,,24.0,,,15.0,3.0,,,27.0,37.0,9.0,,76.0,98.0,29.0,27.0,37.0,,,,35.0,,8.0,,14.0,64.0,60.0,,99.0,,60.0,27.0,46.0,,,60.0,94.0,,,,5.0,48.0,,,82.0,68.0,92.0,,42.0
,,,32.0,,59.0,72.0,22.0,,,84.0,,,,61.0,,72.0,,,,,,49.0,56.0,93.0,92.0,,,63.0,,,,,,,8.0,65.0,13.0,53.0,,29.0,,,46.0,71.0,,71.0,,11.0,,,34.0,,,,,3.0,,83.0,18.0,,27.0,,,,,3.0,,50.0,,89.0,44.0,,
,36.0,70.0,,,14.0,,,25.0,9.0,,60.0,,,,,93.0,,,65.0,,63.0,,,37.0,24.0,,73.0,,,44.0,50.0,,,27.0,62.0,43.0,,31.0,,0.0,,,,,,8.0,,,,,31.0,,,21.0,28.0,,61.0,,71.0,83.0,,12.0,20.0,95.0,,34.0,,,85.0,60.0,61.0,56.0,35.0
,,,,,62.0,,,86.0,,,,,89.0,29.0,,67.0,,37.0,34.0,,,,80.0,9.0,90.0,,28.0,53.0,,,,21.0,,,33.0,97.0,29.0,72.0,44.0,,,10.0,,81.0,36.0,95.0,37.0,1.0,22.0,,24.0,,,57.0,90.0,,9.0,41.0,,,,,64.0,5.0,,,85.0,,42.0,64.0,2.0,40.0,
,95.0,9.0,43.0,84.0,78.0,73.0,87.0,,59.0,42.0,,,27.0,,32.0,,64.0,,70.0,48.0,,47.0,69.0,14.0,,34.0,,,,33.0,79.0,,37.0,47.0,37.0,28.0,77.0,,58.0,,,,50.0,19.0,9.0,33.0,,32.0,,,13.0,,,56.0,73.0,75.0,98.0,48.0,,,9.0,,,,35.0,70.0,,11.0,,72.0,,,67.0
,,52.0,,76.0,0.0,77.0,1.0,,,75.0,,43.0,,6.0,33.0,,28.0,45.0,41.0,,,26.0,14.0,,1.0,72.0,93.0,62.0,,,,27.0,,70.0,83.0,12.0,,2.0,94.0,37.0,71.0,38.0,2.0,84.0,10.0,63.0,80.0,54.0,,,47.0,,,,,23.0,13.0,,63.0,6.0,4.0,33.0,92.0,21.0,,46.0,,,,,,86.0,24.0
,59.0,,,78.0,,93.0,,23.0,8.0,99.0,90.0,,,30.0,,,50.0,,18.0,40.0,,7.0,49.0,,80.0,47.0,86.0,45.0,76.0,57.0,96.0,39.0,2.0,,86.0,,,,,24.0,90.0,66.0,69.0,,0.0,,3.0,,,,,,,,94.0,37.0,15.0,14.0,,,10.0,,18.0,97.0,85.0,73.0,,,26.0,31.0,,14.0,
83.0,,,88.0,,33.0,98.0,69.0,21.0,,,19.0,85.0,,88.0,,,,,,,,,,,,,,,66.0,,12.0,4.0,,60.0,22.0,,,,,,,49.0,,51.0,,93.0,,16.0,57.0,84.0,,,,,,,,,,,,31.0,41.0,,,,31.0,8.0,53.0,,72.0,91.0,
17.0,,,42.0,46.0,,,91.0,54.0,3.0,8.0,90.0,,,98.0,56.0,,92.0,24.0,94.0,,,,,,,98.0,47.0,,81.0,6.0,,26.0,,2.0,46.0,35.0,21.0,52.0,38.0,,,29.0,,35.0,28.0,25.0,,24.0,49.0,,,,,,,,99.0,,,,49.0,,,,97.0,94.0,,33.0,,,,38.0,
,,,,,44.0,,,,,76.0,,70.0,,1.0,,13.0,,5.0,9.0,,10.0,31.0,,37.0,5.0,,4.0,75.0,45.0,79.0,,,,70.0,,33.0,,38.0,69.0,,,,,,79.0,,57.0,,87.0,,6.0,25.0,33.0,3.0,,,51.0,91.0,,78.0,58.0,,23.0,98.0,7.0,,,,,,83.0,25.0,
13.0,91.0,,,2.0,1.0,62.0,,67.0,77.0,,41.0,,,25.0,55.0,33.0,,81.0,,90.0,98.0,,,93.0,71.0,,,,,,,,,49.0,,55.0,3.0,39.0,40.0,,60.0,,51.0,17.0,,,,,43.0,75.0,67.0,,43.0,,,65.0,,21.0,,,,,,,58.0,,,78.0,,,1.0,,5.0
,,10.0,,70.0,10.0,22.0,59.0,81.0,56.0,,12.0,,,7.0,,,,62.0,31.0,54.0,73.0,95.0,,48.0,,43.0,,,,,,,,84.0,,82.0,1.0,60.0,30.0,,,,60.0,54.0,26.0,26.0,,22.0,77.0,41.0,,,,25.0,,,84.0,0.0,,17.0,47.0,,16.0,33.0,,39.0,,,,14.0,,,30.0
,,,48.0,,58.0,,52.0,,,,76.0,,14.0,,,,,,79.0,,25.0,55.0,20.0,27.0,80.0,,1.0,,,95.0,,80.0,19.0,72.0,,73.0,,,79.0,0.0,,,,,4.0,,,,40.0,77.0,,,55.0,17.0,88.0,25.0,92.0,,,,,36.0,75.0,8.0,,83.0,,70.0,,,77.0,63.0,
,62.0,,,,,,91.0,,,,,,42.0,33.0,,22.0,86.0,,33.0,,,,,9.0,,,,6.0,69.0,,90.0,,77.0,6.0,16.0,,57.0,,43.0,,,,98.0,29.0,,,,,,64.0,88.0,,89.0,,,38.0,,28.0,,79.0,,,1.0,96.0,,57.0,,,,,,24.0,
29.0,37.0,9.0,92.0,21.0,,6.0,10.0,62.0,16.0,,35.0,26.0,27.0,78.0,47.0,87.0,34.0,,78.0,94.0,,55.0,,,,14.0,,52.0,10.0,,,,85.0,43.0,30.0,,22.0,,21.0,33.0,86.0,,,86.0,97.0,,,,,56.0,,18.0,,,42.0,,74.0,,66.0,11.0,92.0,18.0,74.0,71.0,,17.0,9.0,94.0,87.0,78.0,64.0,,99.0
18.0,23.0,,20.0,,76.0,,,,,,,,,,,7.0,,,73.0,,,32.0,11.0,,38.0,21.0,,88.0,,,78.0,,,42.0,57.0,,,33.0,,29.0,26.0,34.0,,,,,16.0,,14.0,,97.0,,72.0,14.0,64.0,,,,72.0,39.0,,5.0,24.0,11.0,,,12.0,,21.0,,,,
,,3.0,,4.0,6.0,9.0,7.0,,72.0,3.0,,,,64.0,,,,40.0,49.0,57.0,,15.0,64.0,55.0,92.0,,,82.0,26.0,75.0,86.0,96.0,,,46.0,69.0,,66.0,51.0,71.0,99.0,66.0,,,,13.0,,49.0,99.0,,63.0,87.0,,51.0,,99.0,11.0,,36.0,,,65.0,35.0,68.0,33.0,,,22.0,7.0,12.0,,,96.0
44.0,,,,87.0,8.0,1.0,,89.0,40.0,,49.0,,7.0,64.0,,,,,68.0,,,,51.0,,,98.0,,,79.0,,,10.0,95.0,,11.0,13.0,54.0,,66.0,,,,70.0,42.0,,76.0,,46.0,26.0,,35.0,,77.0,81.0,,,86.0,,62.0,94.0,,42.0,,,42.0,,,,49.0,,20.0,,51.0
,70.0,76.0,,14.0,,33.0,,30.0,37.0,0.0,,,,,82.0,14.0,69.0,75.0,,98.0,,,,82.0,29.0,,1.0,,55.0,,,38.0,64.0,,,0.0,,61.0,13.0,63.0,,,7.0,6.0,,10.0,,73.0,55.0,5.0,7.0,68.0,,66.0,,,52.0,,,,,,49.0,32.0,,40.0,,21.0,45.0,,23.0,,
26.0,,,4.0,,,,,31.0,96.0,23.0,70.0,,,85.0,43.0,74.0,,,94.0,,26.0,2.0,,86.0,,,25.0,,,51.0,,60.0,,,4.0,32.0,34.0,,55.0,,10.0,79.0,59.0,47.0,48.0,,,,97.0,,,,,85.0,,,,47.0,79.0,57.0,,62.0,43.0,,,,1.0,,,,30.0,73.0,63.0
